"initial_alias","converted_alias","name","description","namespace"
"DPYSL2","1808","DPYSL2","dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DNMT3L","29947","DNMT3L","DNA methyltransferase 3 like [Source:HGNC Symbol;Acc:HGNC:2980]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ICAM4","3386","ICAM4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group) [Source:HGNC Symbol;Acc:HGNC:5347]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCG1","9619","ABCG1","ATP binding cassette subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:73]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR7A17","26333","OR7A17","olfactory receptor family 7 subfamily A member 17 [Source:HGNC Symbol;Acc:HGNC:8363]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GSTM4","2948","GSTM4","glutathione S-transferase mu 4 [Source:HGNC Symbol;Acc:HGNC:4636]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANGPT4","51378","ANGPT4","angiopoietin 4 [Source:HGNC Symbol;Acc:HGNC:487]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR2A2","442361","OR2A2","olfactory receptor family 2 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:8230]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NTNG2","84628","NTNG2","netrin G2 [Source:HGNC Symbol;Acc:HGNC:14288]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCCPDH","51097","SCCPDH","saccharopine dehydrogenase (putative) [Source:HGNC Symbol;Acc:HGNC:24275]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USP43","124739","USP43","ubiquitin specific peptidase 43 [Source:HGNC Symbol;Acc:HGNC:20072]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"XPNPEP2","7512","XPNPEP2","X-prolyl aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:12823]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UGT1A4*1A,","None","None","None",""
"UGT1A4*3A","None","None","None",""
"UBE2O","63893","UBE2O","ubiquitin conjugating enzyme E2 O [Source:HGNC Symbol;Acc:HGNC:29554]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRPF40A","55660","PRPF40A","pre-mRNA processing factor 40 homolog A [Source:HGNC Symbol;Acc:HGNC:16463]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"REEP4","80346","REEP4","receptor accessory protein 4 [Source:HGNC Symbol;Acc:HGNC:26176]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C19ORF57","None","None","None",""
"GYS2","2998","GYS2","glycogen synthase 2 [Source:HGNC Symbol;Acc:HGNC:4707]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC20","991","CDC20","cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POLR2D","5433","POLR2D","RNA polymerase II subunit D [Source:HGNC Symbol;Acc:HGNC:9191]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NBPF11","200030","NBPF11","NBPF member 11 [Source:HGNC Symbol;Acc:HGNC:31993]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"JKAMP","51528","JKAMP","JNK1/MAPK8 associated membrane protein [Source:HGNC Symbol;Acc:HGNC:20184]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SERPINE1","5054","SERPINE1","serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAX1BP1","8887","TAX1BP1","Tax1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11575]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MLLT10","8028","MLLT10","MLLT10 histone lysine methyltransferase DOT1L cofactor [Source:HGNC Symbol;Acc:HGNC:16063]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FGF2","2247","FGF2","fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TLE4","7091","TLE4","TLE family member 4, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11840]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD55","1604","CD55","CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"F13A1","2162","F13A1","coagulation factor XIII A chain [Source:HGNC Symbol;Acc:HGNC:3531]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UNIPROTKB:Q6TYA9","None","None","None",""
"CEACAM7","1087","CEACAM7","CEA cell adhesion molecule 7 [Source:HGNC Symbol;Acc:HGNC:1819]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:IHCRHXB3QCQ8GVIQUEV3P4FQNQG","None","None","None",""
"KCTD13","253980","KCTD13","potassium channel tetramerization domain containing 13 [Source:HGNC Symbol;Acc:HGNC:22234]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UNIPROTKB:Q96AF5","None","None","None",""
"OR4P4","81300","OR4P4","olfactory receptor family 4 subfamily P member 4 [Source:HGNC Symbol;Acc:HGNC:15180]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SULT1A1","6817","SULT1A1","sulfotransferase family 1A member 1 [Source:HGNC Symbol;Acc:HGNC:11453]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SULT1A1","6817","None","sulfotransferase family 1A member 1 [Source:NCBI gene (formerly Entrezgene);Acc:6817]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADAP1","11033","ADAP1","ArfGAP with dual PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16486]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSMA5","5686","PSMA5","proteasome 20S subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:9534]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FBXO45","200933","FBXO45","F-box protein 45 [Source:HGNC Symbol;Acc:HGNC:29148]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MBD3","53615","MBD3","methyl-CpG binding domain protein 3 [Source:HGNC Symbol;Acc:HGNC:6918]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FYN","2534","FYN","FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CNP","1267","CNP","2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ICOSLG","102723996","ICOSLG","inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ICOSLG","23308","ICOSLG","inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPN13","None","None","None",""
"HCFC1","3054","HCFC1","host cell factor C1 [Source:HGNC Symbol;Acc:HGNC:4839]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ECM1","1893","ECM1","extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3153]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AP3M1","26985","AP3M1","adaptor related protein complex 3 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:569]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GNL3","26354","GNL3","G protein nucleolar 3 [Source:HGNC Symbol;Acc:HGNC:29931]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DHX32","55760","DHX32","DEAH-box helicase 32 (putative) [Source:HGNC Symbol;Acc:HGNC:16717]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SRSF8","10929","SRSF8","serine and arginine rich splicing factor 8 [Source:HGNC Symbol;Acc:HGNC:16988]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD99L2","83692","CD99L2","CD99 molecule like 2 [Source:HGNC Symbol;Acc:HGNC:18237]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HTR1F","3355","HTR1F","5-hydroxytryptamine receptor 1F [Source:HGNC Symbol;Acc:HGNC:5292]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OXSR1","9943","OXSR1","oxidative stress responsive kinase 1 [Source:HGNC Symbol;Acc:HGNC:8508]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR2A25","392138","OR2A25","olfactory receptor family 2 subfamily A member 25 [Source:HGNC Symbol;Acc:HGNC:19562]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR11H1","81061","OR11H1","olfactory receptor family 11 subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:15404]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NACA","4666","NACA","nascent polypeptide associated complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:7629]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYP2E1*1A,","None","None","None",""
"CYP2E1*5B","None","None","None",""
"IL6R","3570","IL6R","interleukin 6 receptor [Source:HGNC Symbol;Acc:HGNC:6019]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TGM1","7051","TGM1","transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FXN","2395","FXN","frataxin [Source:HGNC Symbol;Acc:HGNC:3951]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARFGEF1","10565","ARFGEF1","ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHD9","80205","CHD9","chromodomain helicase DNA binding protein 9 [Source:HGNC Symbol;Acc:HGNC:25701]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRRAP","8295","TRRAP","transformation/transcription domain associated protein [Source:HGNC Symbol;Acc:HGNC:12347]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"REFSEQ:NP_001247","None","None","None",""
"COMPLEX:6R7J/GNFHTRWUAPBUORAZ3IMO50","None","None","None",""
"ARFGAP1","55738","ARFGAP1","ADP ribosylation factor GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:15852]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:SGR8LICWJEHTB2BIODBTV6H+B68","None","None","None",""
"LSM3","27258","LSM3","LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17874]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TUBGCP2","10844","TUBGCP2","tubulin gamma complex associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18599]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AATK","9625","AATK","apoptosis associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:21]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GTF2H3","2967","GTF2H3","general transcription factor IIH subunit 3 [Source:HGNC Symbol;Acc:HGNC:4657]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FDFT1","2222","FDFT1","farnesyl-diphosphate farnesyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3629]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SSH1","54434","SSH1","slingshot protein phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:30579]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TET1","80312","TET1","tet methylcytosine dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:29484]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GCC1","79571","GCC1","GRIP and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19095]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BUB1B","701","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSPB1","3315","HSPB1","heat shock protein family B (small) member 1 [Source:HGNC Symbol;Acc:HGNC:5246]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MADCAM1","8174","MADCAM1","mucosal vascular addressin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:6765]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RRAGB","10325","RRAGB","Ras related GTP binding B [Source:HGNC Symbol;Acc:HGNC:19901]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KIF15","56992","KIF15","kinesin family member 15 [Source:HGNC Symbol;Acc:HGNC:17273]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZFP1","162239","ZFP1","ZFP1 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:23328]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RNF112","7732","RNF112","ring finger protein 112 [Source:HGNC Symbol;Acc:HGNC:12968]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GABRB2","2561","GABRB2","gamma-aminobutyric acid type A receptor subunit beta2 [Source:HGNC Symbol;Acc:HGNC:4082]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR2T27","403239","OR2T27","olfactory receptor family 2 subfamily T member 27 [Source:HGNC Symbol;Acc:HGNC:31252]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USP48","84196","USP48","ubiquitin specific peptidase 48 [Source:HGNC Symbol;Acc:HGNC:18533]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POLQ","10721","POLQ","DNA polymerase theta [Source:HGNC Symbol;Acc:HGNC:9186]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CLEC7A","64581","CLEC7A","C-type lectin domain containing 7A [Source:HGNC Symbol;Acc:HGNC:14558]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APOBEC3F","200316","APOBEC3F","apolipoprotein B mRNA editing enzyme catalytic subunit 3F [Source:HGNC Symbol;Acc:HGNC:17356]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PIWIL2","55124","PIWIL2","piwi like RNA-mediated gene silencing 2 [Source:HGNC Symbol;Acc:HGNC:17644]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAGED2","10916","MAGED2","MAGE family member D2 [Source:HGNC Symbol;Acc:HGNC:16353]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NDUFAB1","4706","NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IL37","27178","IL37","interleukin 37 [Source:HGNC Symbol;Acc:HGNC:15563]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRT31","3881","KRT31","keratin 31 [Source:HGNC Symbol;Acc:HGNC:6448]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:GGVQOMOHX7OVJDBHDDAI673VHCE","None","None","None",""
"FAAP20","199990","FAAP20","FA core complex associated protein 20 [Source:HGNC Symbol;Acc:HGNC:26428]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"A1CF","29974","A1CF","APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPI-2","None","None","None",""
"CD2BP2","10421","CD2BP2","CD2 cytoplasmic tail binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1656]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:UR5VMURH2QBC4Y3KNTAA3H2VRXK","None","None","None",""
"PAFAH1B1","5048","PAFAH1B1","platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARID5A","10865","ARID5A","AT-rich interaction domain 5A [Source:HGNC Symbol;Acc:HGNC:17361]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STK11","6794","STK11","serine/threonine kinase 11 [Source:HGNC Symbol;Acc:HGNC:11389]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SDHC","6391","SDHC","succinate dehydrogenase complex subunit C [Source:HGNC Symbol;Acc:HGNC:10682]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SKAP1","8631","SKAP1","src kinase associated phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15605]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CTTN","2017","CTTN","cortactin [Source:HGNC Symbol;Acc:HGNC:3338]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UNIPROTKB:P10845","None","None","None",""
"LAMA3","3909","LAMA3","laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFT172","26160","IFT172","intraflagellar transport 172 [Source:HGNC Symbol;Acc:HGNC:30391]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GUCA2B","2981","GUCA2B","guanylate cyclase activator 2B [Source:HGNC Symbol;Acc:HGNC:4683]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C1ORF116","79098","C1orf116","chromosome 1 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28667]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"TBXA2R","6915","TBXA2R","thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:VOYGKAT35QSMHN2DY6BCIDHTIUQ","None","None","None",""
"Q04881","None","None","None",""
"ARHGAP12","94134","ARHGAP12","Rho GTPase activating protein 12 [Source:HGNC Symbol;Acc:HGNC:16348]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:BJRTAXIACMFJRIUEBK+464MSFSQ","None","None","None",""
"PWR501_0237","None","None","None",""
"HPCAL1","3241","HPCAL1","hippocalcin like 1 [Source:HGNC Symbol;Acc:HGNC:5145]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CPNE3","8895","CPNE3","copine 3 [Source:HGNC Symbol;Acc:HGNC:2316]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RQCD1","9125","CNOT9","CCR4-NOT transcription complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:10445]","UNIPROT_GN"
"MCHR1","2847","MCHR1","melanin concentrating hormone receptor 1 [Source:HGNC Symbol;Acc:HGNC:4479]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DOK2","9046","DOK2","docking protein 2 [Source:HGNC Symbol;Acc:HGNC:2991]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BAG2","9532","BAG2","BAG cochaperone 2 [Source:HGNC Symbol;Acc:HGNC:938]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GLA","2717","GLA","galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PABPC5","140886","PABPC5","poly(A) binding protein cytoplasmic 5 [Source:HGNC Symbol;Acc:HGNC:13629]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VKORC1L1","154807","VKORC1L1","vitamin K epoxide reductase complex subunit 1 like 1 [Source:HGNC Symbol;Acc:HGNC:21492]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP2A3","489","ATP2A3","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3 [Source:HGNC Symbol;Acc:HGNC:813]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DPYD*1,","None","None","None",""
"DPYD*9B","None","None","None",""
"COX7A2","1347","COX7A2","cytochrome c oxidase subunit 7A2 [Source:HGNC Symbol;Acc:HGNC:2288]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:JX7TRKUYUJBYDV5XDDTG26TITLC","None","None","None",""
"CACNA2D1","781","CACNA2D1","calcium voltage-gated channel auxiliary subunit alpha2delta 1 [Source:HGNC Symbol;Acc:HGNC:1399]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARV1","64801","ARV1","ARV1 homolog, fatty acid homeostasis modulator [Source:HGNC Symbol;Acc:HGNC:29561]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"JAKMIP1","152789","JAKMIP1","janus kinase and microtubule interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:26460]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADORA1","134","ADORA1","adenosine A1 receptor [Source:HGNC Symbol;Acc:HGNC:262]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HN1","None","None","None",""
"RAP1GDS1","5910","RAP1GDS1","Rap1 GTPase-GDP dissociation stimulator 1 [Source:HGNC Symbol;Acc:HGNC:9859]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPGRIP1L","23322","RPGRIP1L","RPGRIP1 like [Source:HGNC Symbol;Acc:HGNC:29168]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DOK6","220164","DOK6","docking protein 6 [Source:HGNC Symbol;Acc:HGNC:28301]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP2C1","27032","ATP2C1","ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COMPLEX:XZNS7VRYK/YESQZX3W8CBWM+Z4E","None","None","None",""
"GINS1","9837","GINS1","GINS complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28980]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PEG3","5178","PEG3","paternally expressed 3 [Source:HGNC Symbol;Acc:HGNC:8826]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EPS15","2060","EPS15","epidermal growth factor receptor pathway substrate 15 [Source:HGNC Symbol;Acc:HGNC:3419]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCL1","6346","CCL1","C-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10609]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PANK1","53354","PANK1","pantothenate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8598]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ASL","435","ASL","argininosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:746]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATF3","467","ATF3","activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DCAF11","80344","DCAF11","DDB1 and CUL4 associated factor 11 [Source:HGNC Symbol;Acc:HGNC:20258]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HIST2H2BF","None","None","None",""
"TTC5","91875","TTC5","tetratricopeptide repeat domain 5 [Source:HGNC Symbol;Acc:HGNC:19274]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FZD5","7855","FZD5","frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CWC15","51503","CWC15","CWC15 spliceosome associated protein homolog [Source:HGNC Symbol;Acc:HGNC:26939]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GABBR1","2550","GABBR1","gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UCKL1","54963","UCKL1","uridine-cytidine kinase 1 like 1 [Source:HGNC Symbol;Acc:HGNC:15938]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POP1","10940","POP1","POP1 homolog, ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:30129]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NUP58","9818","NUP58","nucleoporin 58 [Source:HGNC Symbol;Acc:HGNC:20261]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARHGAP30","257106","ARHGAP30","Rho GTPase activating protein 30 [Source:HGNC Symbol;Acc:HGNC:27414]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TGOLN2","10618","TGOLN2","trans-golgi network protein 2 [Source:HGNC Symbol;Acc:HGNC:15450]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"REFSEQ:NP_000500","None","None","None",""
"CMTR1","23070","CMTR1","cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
